CustomerID,Age,Gender,Province,City,JoinDate,TenureYears_Reported,PrimaryAccountType,NumProductsHeld,AccountBalance,CreditScore,AnnualIncome,MonthlyTransactions,ComplaintsLast12M,HasOnlineBanking,HasMobileApp,PreferredChannel,MaritalStatus,EmploymentStatus,LastContactDate,Churned
CUS13885,57.0,M,British Columbia,Kelowna,10/11/2011,13.1,Chequing,1,2966.04,628.0,79400.0,14,0,N,Y,Phone,Divorced,Unemployed,"May 17, 2015",No
CUS13993,47.0,MALE,new brunswick,Moncton,2012-04-27,12.7,Credit Card,2,"$-2,009.14",732.0,,17,0,1,No,branch,Single,Part-Time,16-Jul-2020,No
CUS13327,41.0,FEMALE,pei,Charlottetown,2011-05-10,13.6,Chequing,3,2892.36,645.0,30K,10,3,N,Yes,Phone,Widowed,Part-Time,2016-03-20,Yes
CUS10653,30.0,M,NS,Halifax,2021-04-20,3.7,Chequing,3,"$2,320.59",581.0,58K,17,0,Y,1,Mobile App,Divorced,Full-Time,2021-10-02,Yes
CUS11041,,M,SK,Regina,2010-09-14,14.3,RRSP,1,"$10,806.78",777.0,"$23,700",22,0,Yes,Yes,In-Branch,Divorced,Unemployed,2016-05-02,No
CUS10639,33.0,male,Quebec,Montreal,08/07/2016,8.5,Mortgage,2,5533.74,673.0,"$63,800",14,0,No,0,branch,Married,Unemployed,23/09/2020,No
CUS10326,30.0,Male,AB,Red Deer,13/04/2016,8.7,Mortgage,2,"$4,930.59",868.0,,9,0,No,No,Phone Banking,Divorced,Unemployed,22/08/2021,No
CUS13605,51.0,FEMALE,SK,Saskatoon,2013-02-18,11.9,Chequing,1,8013.05,618.0,99K,5,4,0,Yes,Phone,Single,Part-Time,01-May-2021,Yes
CUS11948,70.0,Female,Saskatchewan,Regina,2018-12-01,6.1,Personal Loan,2,"$2,869.53",743.0,"$98,900",4,0,Yes,Yes,Phone,Divorced,Self-Employed,21/05/2019,Yes
CUS12191,50.0,MALE,new brunswick,Moncton,2019-01-04,6.0,TFSA,1,"$1,528.71",788.0,48K,16,1,N,1,Phone Banking,Divorced,Unemployed,09-14-2021,Yes
CUS12426,22.0,M,PE,Charlottetown,2015-02-07,9.9,TFSA,1,1576.95,646.0,"$123,400",19,0,0,N,Online banking,Widowed,Retired,05-18-2023,No
